var,order,labelname,iso2,year,value,Rang,Verh_EU,Verh_IL,Verh_Top3,Verh_IL_old,Verh_CH,Verh_CN,Verh_JP,Verh_KR,Verh_US,Verh_AT,Wachstum,Top_ctries,Anzahl_Länder,Zeitreihe,invertiert,prozent,Bereich,Teilbereich,Diff_Wachstum_AT_IL,Diff_Verh_EU_tminus1,Diff_Verh_EU_tminus2,Diff_Verh_EU_tminus3,Diff_Verh_EU_tminus4,Diff_Verh_EU_tminus5,Diff_Verh_EU_tminus6,Diff_Verh_EU_tminus7,Diff_Verh_EU_tminus8,Diff_Verh_EU_tminus9,Diff_Verh_EU_tminus10,Diff_Verh_IL_tminus1,Diff_Verh_IL_tminus2,Diff_Verh_IL_tminus3,Diff_Verh_IL_tminus4,Diff_Verh_IL_tminus5,Diff_Verh_IL_tminus6,Diff_Verh_IL_tminus7,Diff_Verh_IL_tminus8,Diff_Verh_IL_tminus9,Diff_Verh_IL_tminus10,Diff_Verh_Top3_tminus1,Diff_Verh_Top3_tminus2,Diff_Verh_Top3_tminus3,Diff_Verh_Top3_tminus4,Diff_Verh_Top3_tminus5,Diff_Verh_Top3_tminus6,Diff_Verh_Top3_tminus7,Diff_Verh_Top3_tminus8,Diff_Verh_Top3_tminus9,Diff_Verh_Top3_tminus10,B_D2,B_D1,B_C5,B_C4,B_C6,B_C3,B_C2,B_C1,B_B5,B_B4,B_B3,B_B2,B_B1,B_A3,B_A2,B_A1,jahr_ende_tot,TB_Reg,TB_Finanz,TB_Steuer,TB_frühkind,TB_Primar,TB_Sekundar,TB_Weiterbildung,TB_Vfl_AM,TB_Vfl_Uni,TB_Vfl_Inno,TB_Vfl_Wirt,TB_Input,TB_Output,TB_Input_forsch,TB_Output_forsch,TB_KMU,TB_FTI,TB_Koop,TB_patent,TB_upgrade,TB_struktur,TB_Input_UNT,TB_Output_UNT,TB_Fin_ges,TB_GF,TB_UF,TB_Eff_Wiss,TB_Eff_Tech,TB_Eff_Inno,TB_WS,TB_Gesund,TB_Umwelt,TB_EIS,TB_Inv_Infr,TB_IKT_Fkt,TB_IKT_erf,TB_IKT_nutz,TB_IKT_wirk,TB_egovernment,TB_FuE_Klima,TB_Umwelt_Nutzung,TB_Umwelt_Wirkung,TB_gend_HS,TB_gend_Beruf,TB_ökon_ce,TB_stand_ce,TB_inno_ce,TB_souv_pat,TB_souv_ah,fett
öffentliche_Finanz_FuE,5,Öffentliche Finanzierung F&E,AT,2019,.84410880559181,5,153.17761,116.1291,88.838425,112.84088,98.041405,184.33783,178.96376,88.19986,128.66148,100,.0063703866,(1) NO (2) KR (3) DE,39,2000-2019,,1,B_B5,TB_Fin_ges,.00506968,-18.364731,-6.3516388,-24.848663,-20.185745,-33.522064,-13.243042,-30.080719,-10.1651,-23.282959,-2.4619141,-12.956024,.059272766,-11.167137,-12.706207,-24.429657,-11.063683,-26.553085,-10.852737,-19.130341,-3.2223434,-9.6772766,-3.2194672,-13.074898,-15.497597,-23.260788,-16.85041,-23.987488,-12.63311,-15.520386,-5.9818878,,,,,,,,,1,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
öff_Finanz_HS_HERD,8,Anteil öffentliche Finanzierung an HERD,AT,2019,84.46494293212891,4,116.10899,116.92283,95.05928,119.00873,104.85586,140.95941,163.72432,106.05368,150.98038,100,-.38409594,(1) LU (2) NO (3) HU,36,2002-2019,,1,B_B5,TB_GF,.057866037,-.67492676,-2.3153763,.42453003,2.2327652,-4.0643921,-1.8590546,-1.1086044,-1.0022354,.059440613,2.9668274,.26734161,-.17688751,1.404808,3.9002304,5.0730438,6.2753525,6.3048706,4.1652603,3.6131363,4.2242279,.35979462,-.036407471,-.14421844,.92261505,1.0674744,1.1233826,.92195892,.8392334,.83846283,.96234894,,,,,,,,,1,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
öff_Finanz_HS_BIP,7,"Öffentliche Finanzierung HERD, in % des BIP",AT,2019,.58,4,181.04047,107.80669,82.464455,105.93607,79.452049,527.27271,290,170.58823,263.63635,100,.0038888885,(1) CH (2) DK (3) NO,36,2002-2019,,1,B_B5,TB_GF,-.00081111141,-6.6600647,-14.900497,-20.82869,-25.092209,-16.205032,-12.496552,-6.1345673,-5.931366,-8.9416504,-6.592041,-1.3350906,-2.6801987,-2.6905441,-2.3016052,1.5349197,1.9039154,2.7278824,1.6915817,.72865295,2.4495544,-.31856537,-2.6316986,-4.4920654,-3.8563004,-2.651825,-4.6784058,-3.4543991,-6.0355453,-7.6118851,-7.383255,,,,,,,,,1,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
zit_fam_tc_ceEnabling_rta,4,Patente für unterstützende Grundlagentechnologien mit inländischen ErfinderInnen,AT,2019,.7859812378883362,27,76.550438,91.834816,30.796638,98.895798,97.965729,,64.929985,65.976028,68.051506,100,1.2079899,(1) CY (2) EE (3) RO,41,2000-2019,,,B_C3,TB_inno_ce,-.18109715,-9.1929626,-23.646751,-7.4742279,-4.1498337,-34.740623,-16.564781,-16.57534,-6.5839386,-43.981918,-7.962883,-.21675873,-24.528122,-9.1455536,2.414444,-29.090477,-24.607773,-15.748245,10.61544,-17.203499,-3.6420288,-.19816399,-17.262756,-1.2385292,-6.3919792,-12.294662,-6.7036705,-5.9892311,1.5862141,-21.729401,4.6568623,,,,,,1,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
zit_fam_tc_ceCore_rta,3,Kreislaufwirtschaftsrelevante Patente mit inländischen ErfinderInnen,AT,2019,1.137119770050049,11,122.06111,92.017982,58.938435,84.693855,155.3773,,104.62502,70.922401,136.27231,100,-.24795865,(1) DK (2) CL (3) KR,41,2000-2019,,,B_C3,TB_inno_ce,-2.2423875,26.24308,26.21788,30.027214,14.150612,21.431389,40.749809,32.372627,27.586311,42.169228,25.276382,7.6661682,6.3855667,-.39128876,-12.327942,2.3950729,13.365356,-.87430573,9.4611053,25.769981,16.896736,14.268738,18.248871,20.799854,14.205872,12.398602,19.042625,12.643944,14.689762,22.079296,11.592194,,,,,,1,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
wissensintensitaet_export,19,Wissensintensität Export,AT,2021,56.29645067907302,12,110.13477,107.78747,76.134499,110.8745,109.83762,,78.437637,76.559402,116.71077,100,.030035885,(1) CZ (2) KR (3) SK,42,2000-2021,,1,B_D2,TB_Eff_Inno,-.078658909,2.375351,-.854599,-2.1450653,-3.7259827,-.54069519,-3.2266617,-5.5715866,-9.7838287,-4.2624741,-2.7144852,1.6713257,-3.1088028,-6.0090256,-7.2506104,-6.2639542,-7.9306412,-13.62648,-17.511009,-12.4133,-8.5603714,1.0044556,-1.0340576,-.95342255,-2.323288,-1.2732239,-1.9821472,-2.6445923,-3.5322571,6.59832,2.4818344,1,,,,,,,,,,,,,,,,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
wissensintensitaet_export,27,Wissensintensität Export,AT,2021,56.29645067907302,12,110.13477,107.78747,76.134499,110.8745,109.83762,,78.437637,76.559402,116.71077,100,.030035885,(1) CZ (2) KR (3) SK,42,2000-2021,,1,B_B3,TB_Output_UNT,-.078658909,2.375351,-.854599,-2.1450653,-3.7259827,-.54069519,-3.2266617,-5.5715866,-9.7838287,-4.2624741,-2.7144852,1.6713257,-3.1088028,-6.0090256,-7.2506104,-6.2639542,-7.9306412,-13.62648,-17.511009,-12.4133,-8.5603714,1.0044556,-1.0340576,-.95342255,-2.323288,-1.2732239,-1.9821472,-2.6445923,-3.5322571,6.59832,2.4818344,,,,,,,,,,,1,,,,,,2021,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wissens_DL,30,Innovationsintensiver Dienstleistungsexport,AT,2020,76.74935021629769,20,102.55652,99.111732,81.436714,96.503197,100.82292,,125.43023,99.924149,103.0377,100,.28989342,(1) LU (2) CY (3) EL,38,2010-2020,,1,B_B3,TB_struktur,.14810681,-1.8755875,-1.3417282,1.0309296,1.0541687,-.29621124,.97462463,-3.2832184,-4.8566895,-2.1401749,3.7052002,-5.7260971,-5.9721603,-2.1865768,-3.3006821,-2.9449539,-1.346611,-5.3472977,-7.5701599,-4.3034744,2.1653671,-1.7643585,-.1346283,1.2957535,2.1571579,1.4156036,1.1361084,-2.6447525,-4.6499481,-2.134346,4.1018524,,,,,,,,,,,1,,,,,,2020,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocational_graduates,44,Anteil berufsbezogene Absolventen,AT,2020,76.72120666503906,1,170.55087,153.36531,105.50671,160.38466,122.80311,,,,,100,-.48547173,(1) AT (2) CZ (3) HR,32,2013-2020,,1,B_A2,,.2640112,-3.8697052,-3.8684998,-2.0526581,-4.5949402,-1.0445404,3.4313965,2.4411926,,,,-.99876404,.97813416,3.5098877,3.362442,4.8743896,6.2165833,9.4817963,,,,-1.8745422,-2.198494,-1.6266937,-2.6983719,-2.290802,-2.2049026,-3.386055,,,,,,,,,,,,,,,,,,1,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vaShareIctTypeComb_Producer,24,Wertschöpfungsanteil von IKT-Produktionsbranchen,AT,2020,6.234151640384926,30,67.637177,69.215614,46.901241,68.52179,57.177551,,,,,100,-.021194249,(1) IE (2) MT (3) BG,31,2005-2020,,1,B_C1,TB_IKT_wirk,-.025689483,-7.3956223,-7.2634354,-5.2716827,-6.1704636,-5.604393,-5.5999985,-2.6633453,-.83187103,-3.2173462,.71652985,-8.3715591,-7.396904,-2.6079483,-.99108124,-.4278183,.95348358,2.2515182,2.3532867,1.8860474,7.7011032,-5.145607,-6.1077003,-5.9384613,-5.8310471,-5.1636543,-3.9047356,-1.4584732,1.2791862,.27999496,1.4236221,,,,,,,,1,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
